part,n,win_rate,avg_r,pf,avg_win,avg_loss,payoff
train,785,0.4496815286624204,0.056618685582696934,1.0960544041296314,1.436711484993316,1.0710960324542211,1.341347032815866
validation,372,0.4489247311827957,0.049079083143983966,1.0856221489974645,1.3861667626456142,1.0401581972305147,1.332649943380121
holdout,263,0.45627376425855515,0.011690895413911983,1.0212096736111125,1.2336819554626814,1.0137561479836568,1.216941527719909
oos,635,0.4519685039370079,0.033593896729796686,1.0595537427449788,1.3224100488409036,1.029309079292869,1.284755060889382
