entry_date,exit_date,entry,exit,risk,r,mfe_r,status,days,ticker,side,signal_date,rank,momentum,config
2023-11-07,2023-12-07,351.83600759444016,361.2118749800961,52.4662187548858,0.1652910306149994,0.4791564440131014,ema_trail,22,MSFT,long,2023-11-06,0.9020866773675762,0.5422246745899495,xmom_f252_skip21_b55_s40_atr0.5_ema20
2024-01-12,2024-02-20,378.1428865038529,396.28600214507156,25.128507084884177,0.6919165475878933,1.3791743960554068,ema_trail,26,MSFT,long,2024-01-11,0.9150641025641025,0.6368462734868932,xmom_f252_skip21_b55_s40_atr0.5_ema20
2023-05-18,2023-07-07,95.97236632265567,110.46873110815906,12.891388537938994,1.10961049779553,2.0721557848559375,ema_trail,34,ORCL,long,2023-05-17,0.9069020866773676,0.40832297825967134,xmom_f252_skip21_b55_s40_atr0.5_ema20
2023-09-08,2023-09-12,120.47093102079576,105.87329613425901,14.597634886536753,-1.0165055410629438,0.17325504893480378,stop,3,ORCL,long,2023-09-07,0.9101123595505618,0.5867965473740211,xmom_f252_skip21_b55_s40_atr0.5_ema20
2023-09-11,2023-09-12,122.61391872051743,105.89275348778344,16.721165232733995,-1.0146657146214288,0.023092065744422886,stop,2,ORCL,long,2023-09-08,0.9085072231139647,0.5436653924702022,xmom_f252_skip21_b55_s40_atr0.5_ema20
2023-09-12,2023-09-12,108.19217562501974,105.89841011794728,2.2937655070724645,-1.0943358641425431,0.5134273176738043,stop,1,ORCL,long,2023-09-11,0.913322632423756,0.5388585380797495,xmom_f252_skip21_b55_s40_atr0.5_ema20
2024-01-12,2024-02-20,144.9600067138672,150.61599731445312,17.072345347556222,0.31431361526003315,1.060427743166078,ema_trail,26,NOW,long,2024-01-11,0.9487179487179487,0.8514862334742193,xmom_f252_skip21_b55_s40_atr0.5_ema20
2024-01-19,2024-02-20,150.08799743652344,150.61599731445312,20.985185489942012,0.010856415025058241,0.6183408734234898,ema_trail,22,NOW,long,2024-01-18,0.9246794871794872,0.66947196123719,xmom_f252_skip21_b55_s40_atr0.5_ema20
2024-01-22,2024-02-20,152.03799438476562,150.61599731445312,21.133674089153743,-0.08167406442441019,0.5217266496137215,ema_trail,21,NOW,long,2024-01-19,0.9214743589743589,0.6908218033143139,xmom_f252_skip21_b55_s40_atr0.5_ema20
2024-01-23,2024-02-22,617.8648175415618,636.9614931070691,77.61024262925196,0.23013645268121172,0.43227555272098933,ema_trail,22,INTU,long,2024-01-22,0.9006410256410257,0.6501047556827142,xmom_f252_skip21_b55_s40_atr0.5_ema20
2023-04-14,2023-04-26,214.8699951171875,203.89999389648438,27.75805089609574,-0.4106823369410606,0.06700760861466601,ema_trail,9,CDNS,long,2023-04-13,0.9356913183279743,0.3237933979487877,xmom_f252_skip21_b55_s40_atr0.5_ema20
2023-11-13,2023-12-05,260.6000061035156,260.7200012207031,36.44946355098182,-0.011007155001290115,0.5138616222033666,ema_trail,16,CDNS,long,2023-11-10,0.9341894060995185,0.7068219161078437,xmom_f252_skip21_b55_s40_atr0.5_ema20
2023-11-09,2023-12-04,69.72426533164023,68.03468346947368,9.212461486261127,-0.1985387288248127,0.3605511042070085,ema_trail,17,DELL,long,2023-11-08,0.9454253611556982,0.745802733691705,xmom_f252_skip21_b55_s40_atr0.5_ema20
2026-06-23,2026-06-29,359.06500244140625,330.04998779296875,50.79545675896799,-0.5853504732600106,0.19539125004947383,ema_trail,5,KEYS,long,2026-06-22,0.9490445859872612,1.1361308097668066,xmom_f252_skip21_b55_s40_atr0.5_ema20
2024-11-08,2024-11-11,101.61499786376953,101.33000183105469,15.119512351396892,-0.032291122695982694,0.1896556078351861,ema_trail,2,ANET,long,2024-11-07,0.9376996805111821,0.9140638804951198,xmom_f252_skip21_b55_s40_atr0.5_ema20
2024-12-04,2024-12-19,609.4535434454373,607.3878008993366,70.80691384558952,-0.04638882638148066,0.35723201741360183,ema_trail,12,META,long,2024-12-03,0.9313099041533547,0.7513316448440339,xmom_f252_skip21_b55_s40_atr0.5_ema20
2024-12-09,2024-12-19,620.350888846341,607.3878008993366,81.82339641500016,-0.17359081078298028,0.1759539680553757,ema_trail,9,META,long,2024-12-06,0.9265175718849841,0.8074420306046133,xmom_f252_skip21_b55_s40_atr0.5_ema20
2024-12-12,2024-12-19,627.8876010257708,607.3878008993366,89.60925304440309,-0.24278268805237532,0.0572536444017496,ema_trail,6,META,long,2024-12-11,0.9185303514376997,0.7982225991128138,xmom_f252_skip21_b55_s40_atr0.5_ema20
2025-08-01,2025-08-20,758.2448261685668,745.1278092436016,102.20229399716072,-0.143181781983375,0.346411500608227,ema_trail,14,META,long,2025-07-31,0.9012738853503185,0.5496395847961966,xmom_f252_skip21_b55_s40_atr0.5_ema20
2024-10-11,2024-10-16,73.48999786376953,70.34300231933594,8.291128085648296,-0.39728918744638736,0.013267267037156305,ema_trail,4,NFLX,long,2024-10-10,0.9440894568690096,0.8254313146052261,xmom_f252_skip21_b55_s40_atr0.5_ema20
2025-07-01,2025-07-10,27.410644663594585,26.509925244307226,2.768436435462302,-0.34515537231577514,0.06830745957655945,ema_trail,7,T,long,2025-06-30,0.9156050955414012,0.5355864544375744,xmom_f252_skip21_b55_s40_atr0.5_ema20
2024-02-08,2024-02-12,170.61000061035156,154.8300018310547,19.9069655695192,-0.8098280335201756,0.049228784975626584,ema_trail,3,TTWO,long,2024-02-07,0.9166666666666666,0.5018946282007175,xmom_f252_skip21_b55_s40_atr0.5_ema20
2025-05-02,2025-05-23,214.4499969482422,225.9199981689453,29.460745362523625,0.37477331584596585,0.8937316930395288,ema_trail,16,TTWO,long,2025-05-01,0.9011164274322169,0.45650515464026564,xmom_f252_skip21_b55_s40_atr0.5_ema20
2025-07-24,2025-08-01,154.0399932861328,146.02999877929688,21.051378382599893,-0.3951320593944358,0.04892857937213746,ema_trail,7,LYV,long,2025-07-23,0.9156050955414012,0.5845426378467553,xmom_f252_skip21_b55_s40_atr0.5_ema20
2025-08-13,2025-09-19,159.69000244140625,164.64999389648438,22.21646115517342,0.2088816674168955,0.7003814626421897,ema_trail,27,LYV,long,2025-08-12,0.9060509554140127,0.6186219443742949,xmom_f252_skip21_b55_s40_atr0.5_ema20
2025-08-15,2025-09-19,162.39999389648438,164.64999389648438,22.234310711207513,0.08658689883453898,0.5779358879355051,ema_trail,25,LYV,long,2025-08-14,0.9012738853503185,0.6221615590951171,xmom_f252_skip21_b55_s40_atr0.5_ema20
