entry_date,exit_date,entry,exit,risk,r,mfe_r,status,days,ticker,side,signal_date,rank,momentum,config
2023-07-20,2023-08-04,192.39279363664537,182.95513345446872,25.645171499926732,-0.383013456138439,0.0811395390844171,ema_trail,12,AAPL,long,2023-07-19,0.9278846153846154,0.3642679229431023,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-07-19,2023-07-27,353.388368189592,332.60994176424407,51.91188584415818,-0.41387830190231645,0.01336072504399087,ema_trail,7,MSFT,long,2023-07-18,0.9439102564102564,0.4619186819585215,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-10-12,2023-10-18,46.68989946190785,42.51168506984707,6.4941779258031005,-0.6577574929095203,0.12787630976298558,ema_trail,5,NVDA,long,2023-10-11,0.9759615384615384,0.6938417182155572,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-10-13,2023-10-18,46.87255588078778,42.51168506984707,6.671858619899467,-0.6676724098163532,0.02333855758921259,ema_trail,4,NVDA,long,2023-10-12,0.9807692307692307,0.7191349333297126,xmom_f126_skip21_b20_s40_atr0.5_ema20
2025-10-01,2025-10-15,185.00405809785752,184.56460739230218,23.862170791900297,-0.033922262513761736,0.4344432384722455,ema_trail,11,NVDA,long,2025-09-30,0.9124203821656051,0.6072346925633505,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-05-19,2023-07-18,65.24328280581013,87.14228820800781,8.205100216456643,2.6530472830698417,2.827243686721977,time,40,AVGO,long,2023-05-18,0.9004815409309791,0.22878424998354174,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-05-22,2023-07-19,65.37759359699133,86.9435806274414,8.316914154366707,2.5773058907914486,2.7730846521492243,time,40,AVGO,long,2023-05-19,0.9052969502407705,0.25631875662720427,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-05-24,2023-07-21,65.38142483700787,86.49796295166016,8.338123817443346,2.5168462023886056,2.7655712795316862,time,40,AVGO,long,2023-05-23,0.9004815409309791,0.25095033817757995,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-09-01,2023-09-08,86.99178864905019,82.47085669949473,9.908795005018675,-0.47381296358191366,0.0,ema_trail,5,AVGO,long,2023-08-31,0.9551282051282052,0.5092461948592479,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-10-13,2023-10-23,88.15708073256963,83.20709144022366,12.166704026223101,-0.42133871611919654,0.1347921063933225,ema_trail,7,AVGO,long,2023-10-12,0.9166666666666666,0.37362871341518766,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-04-06,2023-06-02,90.36103567141232,101.85943603515625,12.640451030975015,0.8953539920899577,0.9766187654650935,time,40,ORCL,long,2023-04-05,0.9069020866773676,0.35708979474156055,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-11-07,2024-11-29,177.58376594919665,180.45717233288485,24.923094858726103,0.10104037504427842,0.5886561564872232,ema_trail,16,ORCL,long,2024-11-06,0.9601910828025477,0.4895844136311589,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-11-08,2024-11-29,182.6637481040748,180.45717233288485,27.052771698069307,-0.09506986182793467,0.3545348764803465,ema_trail,15,ORCL,long,2024-11-07,0.964968152866242,0.5328651566573395,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-05-10,2023-06-08,201.45473780869372,201.8872717862739,28.40151770428176,0.0010430605248373265,0.6942881829406319,ema_trail,21,CRM,long,2023-05-09,0.9036918138041734,0.3700365052270109,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-06-01,2023-06-08,204.6789694033211,201.8872717862739,22.923743735288696,-0.1396393011899773,0.3619152490252707,ema_trail,6,CRM,long,2023-05-31,0.9149277688603531,0.2869412548470165,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-07-12,2023-08-03,218.12629919808617,212.5232346298049,24.065500862812684,-0.2509533128400299,0.6666160302928085,ema_trail,17,CRM,long,2023-07-11,0.9391025641025641,0.491210812892509,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-07-13,2023-08-03,224.3781379294139,212.5232346298049,28.77741066632825,-0.42754574823036573,0.3402185844435399,ema_trail,16,CRM,long,2023-07-12,0.9407051282051282,0.46369828876981645,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-07-14,2023-08-03,225.7936497684441,212.5232346298049,30.127954042129033,-0.45545749369466354,0.27798429558499715,ema_trail,15,CRM,long,2023-07-13,0.9310897435897436,0.44933531810892946,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-07-20,2023-08-03,227.16985006928775,212.5232346298049,28.54071430082135,-0.5291022144875624,0.08266012039545359,ema_trail,11,CRM,long,2023-07-19,0.9391025641025641,0.42628136063844213,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-01-16,2024-02-22,153.96765630447015,170.97410587279197,15.248665760672878,1.0950803511464742,1.8939731580914483,ema_trail,27,IBM,long,2024-01-12,0.9345047923322684,0.26308072027218987,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-01-17,2024-02-22,154.88701451889344,170.97410587279197,14.557116279718173,1.083821618354634,1.920792888901798,ema_trail,26,IBM,long,2024-01-16,0.9121405750798722,0.24687024081235154,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-11-22,2024-12-19,214.9084892722535,215.93805748534618,22.69341247252919,0.026428428746632576,0.6784043191052017,ema_trail,19,IBM,long,2024-11-21,0.9235668789808917,0.37567063106392573,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-08-31,2023-09-13,547.0,557.02001953125,78.77779430890575,0.11330628903176745,0.29500686631623224,ema_trail,9,ADBE,long,2023-08-30,0.9743589743589743,0.6980022490411,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-09-05,2023-09-13,557.8800048828125,557.02001953125,79.57857515008169,-0.024827604133423553,0.15531800271935142,ema_trail,7,ADBE,long,2023-09-01,0.969551282051282,0.5223811090483588,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-10-13,2023-10-25,560.0,533.5599975585938,68.5588012651645,-0.40199072814608555,0.11931353122910561,ema_trail,9,ADBE,long,2023-10-12,0.9471153846153846,0.4613516773953521,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-08-31,2023-09-18,118.0,115.447998046875,12.954427976360861,-0.2152161375409647,0.27635352464712815,ema_trail,12,NOW,long,2023-08-30,0.907051282051282,0.3763929705484639,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-01-12,2024-02-20,144.9600067138672,150.61599731445312,17.072345347556222,0.31431361526003315,1.060427743166078,ema_trail,26,NOW,long,2024-01-11,0.9089456869009584,0.22109277585705178,xmom_f126_skip21_b20_s40_atr0.5_ema20
2025-01-23,2025-01-31,223.52999877929688,206.40199279785156,26.341876449351616,-0.6671911172613711,0.6107384744384613,ema_trail,7,NOW,long,2025-01-22,0.9219745222929936,0.4024983064559804,xmom_f126_skip21_b20_s40_atr0.5_ema20
2025-01-24,2025-01-31,228.2239990234375,206.40199279785156,30.98638512181003,-0.7189755802767691,0.36770979085143596,ema_trail,6,NOW,long,2025-01-23,0.9235668789808917,0.40410435742145756,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-01-23,2024-02-22,617.8648175415618,636.9614931070691,77.61024262925196,0.23013645268121172,0.43227555272098933,ema_trail,22,INTU,long,2024-01-22,0.9041533546325878,0.2639951132999525,xmom_f126_skip21_b20_s40_atr0.5_ema20
2025-07-29,2025-08-04,795.5428194630412,775.4682977719585,67.86547959090865,-0.3192434130077386,0.13434828950883812,ema_trail,5,INTU,long,2025-07-28,0.9363057324840764,0.29477348142724136,xmom_f126_skip21_b20_s40_atr0.5_ema20
2025-07-30,2025-08-04,795.9285081751651,775.4682977719585,68.25202355695899,-0.32309763535660746,0.12793646155156768,ema_trail,4,INTU,long,2025-07-29,0.9124203821656051,0.28239474899811734,xmom_f126_skip21_b20_s40_atr0.5_ema20
2025-10-03,2025-11-07,170.67999267578125,230.94000244140625,24.26121208514067,2.469730266154838,3.9734203533683603,ema_trail,26,AMD,long,2025-10-02,0.9235668789808917,0.5746892611158079,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-09-06,2023-09-12,49.79254332555454,47.71228145122778,6.684657341039035,-0.3260970383021969,0.1585250771418661,ema_trail,5,KLAC,long,2023-09-05,0.9022435897435898,0.3120481768240084,xmom_f126_skip21_b20_s40_atr0.5_ema20
2026-04-09,2026-05-21,345.05486354813416,395.5565300554998,50.67733094681756,0.9829159478138905,1.7655807427673818,ema_trail,31,ADI,long,2026-04-08,0.910828025477707,0.3271907993341714,xmom_f126_skip21_b20_s40_atr0.5_ema20
2026-06-23,2026-06-24,426.8599853515625,407.2200012207031,55.5706939146728,-0.36878618310993183,0.0,ema_trail,2,ADI,long,2026-06-22,0.9044585987261147,0.47320073136379137,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-05-19,2023-05-24,217.91000366210938,204.41000366210938,26.216207030278326,-0.5315727020018223,0.04501004567206923,ema_trail,4,CDNS,long,2023-05-18,0.9245585874799358,0.26626757860098227,xmom_f126_skip21_b20_s40_atr0.5_ema20
2025-09-10,2025-09-11,348.5,342.3599853515625,41.379512555663496,-0.16522704657867548,0.0007249669569335986,ema_trail,2,CDNS,long,2025-09-09,0.9076433121019108,0.5047870894838993,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-08-16,2024-08-30,125.87260882526644,115.31417513816443,18.476477753961305,-0.5850779054700981,0.19343773275526746,ema_trail,11,NTAP,long,2024-08-15,0.9568690095846646,0.46461072834372397,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-11-07,2023-12-04,68.73546180593523,68.03468346947368,8.25525482152728,-0.10154129438712368,0.5221361157502749,ema_trail,19,DELL,long,2023-11-06,0.9599358974358975,0.45310712845795,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-11-09,2023-12-04,69.72426533164023,68.03468346947368,9.212461486261127,-0.1985387288248127,0.3605511042070085,ema_trail,17,DELL,long,2023-11-08,0.9631410256410257,0.4936254097875594,xmom_f126_skip21_b20_s40_atr0.5_ema20
2026-06-23,2026-06-29,359.06500244140625,330.04998779296875,50.79545675896799,-0.5853504732600106,0.19539125004947383,ema_trail,5,KEYS,long,2026-06-22,0.9538216560509554,0.7230644672120878,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-09-20,2023-10-04,107.08999633789062,105.83999633789062,16.045033477225118,-0.09125440559249001,0.12215659859166325,ema_trail,11,AKAM,long,2023-09-19,0.9246794871794872,0.3428267546642976,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-12-14,2024-01-03,117.6500015258789,116.5999984741211,17.235598256032347,-0.0745725814512834,0.1717375306909742,ema_trail,13,AKAM,long,2023-12-13,0.9136,0.20643554662635033,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-01-23,2024-02-15,122.1500015258789,114.19999694824219,9.912835665904282,-0.8266357737446629,0.7081724018902131,ema_trail,18,AKAM,long,2024-01-22,0.9281150159744409,0.30093097941426095,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-01-24,2024-02-15,123.98999786376953,114.19999694824219,11.7601291401554,-0.8535604321707508,0.44047137947562814,ema_trail,17,AKAM,long,2024-01-23,0.9345047923322684,0.2862068608314625,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-01-25,2024-02-15,123.94999694824219,114.19999694824219,11.48047905325744,-0.8708608715295472,0.45468496536492664,ema_trail,16,AKAM,long,2024-01-24,0.9281150159744409,0.27701184411117463,xmom_f126_skip21_b20_s40_atr0.5_ema20
2024-11-08,2024-11-11,101.61499786376953,101.33000183105469,15.119512351396892,-0.032291122695982694,0.1896556078351861,ema_trail,2,ANET,long,2024-11-07,0.9299363057324841,0.37443841864793326,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-09-12,2023-09-21,303.66332641243866,293.1259325272159,36.15270069827449,-0.30826799444555847,0.17932450675667855,ema_trail,8,META,long,2023-09-11,0.9743589743589743,0.7031916684309503,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-09-15,2023-09-21,308.89735891461083,293.1259325272159,41.22104376025243,-0.3975935495604192,0.009379177688446889,ema_trail,5,META,long,2023-09-14,0.9551282051282052,0.5269284242060377,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-10-09,2023-10-20,309.7796795347402,311.4053948634876,42.25281062047986,0.023812758368084212,0.4232355123108889,ema_trail,10,META,long,2023-10-06,0.9118589743589743,0.38209158813865196,xmom_f126_skip21_b20_s40_atr0.5_ema20
2022-08-31,2022-09-02,22.700000762939453,23.10300064086914,2.9675562012094723,-0.15110072027374385,0.2537442286998701,ema_trail,3,NFLX,short,2022-08-30,0.05627009646302251,-0.41432787986232167,xmom_f126_skip21_b20_s40_atr0.5_ema20
2023-09-06,2023-09-14,44.861000061035156,41.040000915527344,5.666940747468139,-0.6900938830844675,0.049056429265453595,ema_trail,7,NFLX,long,2023-09-05,0.9310897435897436,0.38320036764278886,xmom_f126_skip21_b20_s40_atr0.5_ema20
2025-05-07,2025-05-13,26.512401114542072,25.576334653386127,3.573832326355234,-0.2767592805322663,0.09524403841017375,ema_trail,5,T,long,2025-05-06,0.9585987261146497,0.19690039621833066,xmom_f126_skip21_b20_s40_atr0.5_ema20
2025-06-11,2025-06-18,26.928429068164387,26.247657221340056,2.6143502368351683,-0.2809985803011511,0.04701692184672671,ema_trail,6,T,long,2025-06-10,0.947452229299363,0.1956614458410637,xmom_f126_skip21_b20_s40_atr0.5_ema20
