formation,skip,breakout,stop_lookback,atr_buffer,trail_ema,max_hold,rank_pct,name,raw_candidates,all_n,all_win_rate,all_avg_r,all_pf,all_cagr,all_max_dd,all_ending_equity,is_n,is_win_rate,is_avg_r,is_pf,is_cagr,is_max_dd,is_ending_equity,oos_n,oos_win_rate,oos_avg_r,oos_pf,oos_cagr,oos_max_dd,oos_ending_equity
126,21,20,40,0.5,20,40,0.1,xmom_f126_skip21_b20_s40_atr0.5_ema20,275,192,0.375,0.045055586696503946,1.2202861873246114,0.01089511112879138,-0.038873067382559134,1.0429355300321863,133,0.3609022556390977,0.0599868038614133,1.2905453588339861,0.016678022476652732,-0.038873067382559134,1.039713708529962,59,0.4067796610169492,0.011397080206115077,1.0569342359823437,0.002138524350953297,-0.0167876615925161,1.0030987583175954
126,21,20,40,0.5,10,40,0.1,xmom_f126_skip21_b20_s40_atr0.5_ema10,275,202,0.3415841584158416,-0.01621834373288754,0.9042821848101961,-0.004378427154411169,-0.04281409532193847,0.9831795838582009,142,0.33098591549295775,-0.014763387463840547,0.9092766808798963,-0.004602988686708609,-0.04281409532193847,0.9892207843361056,60,0.36666666666666664,-0.019661740236298793,0.8939026354318547,-0.0042608043825171915,-0.01693215208210952,0.9938929705344206
252,21,20,40,0.5,10,40,0.1,xmom_f252_skip21_b20_s40_atr0.5_ema10,325,213,0.38028169014084506,0.031020675937612353,1.1821489593578283,0.008334728987329454,-0.03680863118687683,1.032607584760969,157,0.3885350318471338,0.05413183021279586,1.3480451777477476,0.017519956081109678,-0.03680863118687683,1.0427333411717266,56,0.35714285714285715,-0.033773095869598556,0.8404827180768717,-0.006740363183849407,-0.023344220106997327,0.990289217759758
252,21,20,40,0.5,20,40,0.1,xmom_f252_skip21_b20_s40_atr0.5_ema20,325,200,0.39,0.07779540487368071,1.374502650964755,0.019880730293147186,-0.04224420268217155,1.0793632806965747,146,0.410958904109589,0.12139572096547466,1.624636757840993,0.036149411234395634,-0.03314635896684048,1.0914447820071078,54,0.3333333333333333,-0.04008693122635481,0.8356525725250058,-0.007612970517318685,-0.027518449089936392,0.9889307260342443
126,21,55,40,0.5,20,40,0.1,xmom_f126_skip21_b55_s40_atr0.5_ema20,167,115,0.3652173913043478,0.07460687718098978,1.4245671008560852,0.010999353228687836,-0.021001535554224904,1.0430403814776696,87,0.3563218390804598,0.12639317646332665,1.7616730365973656,0.023628317853322978,-0.01952811719461589,1.0557840610003892,28,0.39285714285714285,-0.08630055273198559,0.5813132010356385,-0.00859228474877416,-0.01947027088835107,0.987929653426815
126,21,55,40,0.5,10,40,0.1,xmom_f126_skip21_b55_s40_atr0.5_ema10,167,123,0.3170731707317073,-0.0011368853915131975,0.9922209049066882,-0.00025727642090567215,-0.023815614943044405,0.9990128135304266,94,0.30851063829787234,0.026725403290885127,1.2022144693806487,0.005406777461479884,-0.02337757494771564,1.0124034607170784,29,0.3448275862068966,-0.09144913146549398,0.5223816380010825,-0.009509011620206231,-0.021035243389907587,0.9867734083236276
252,21,55,40,0.5,10,40,0.1,xmom_f252_skip21_b55_s40_atr0.5_ema10,174,114,0.32456140350877194,-0.029133913110588522,0.8387353155749216,-0.004768274895022073,-0.03828821712888131,0.9831191557943628,88,0.32954545454545453,0.009865395449804158,1.0575123372289064,0.001935589644090685,-0.03828821712888131,1.003973253454419,26,0.3076923076923077,-0.16113157285345606,0.23828960156414297,-0.014524626684061626,-0.02141023029572542,0.9792284330401211
252,21,55,40,0.5,20,40,0.1,xmom_f252_skip21_b55_s40_atr0.5_ema20,174,110,0.38181818181818183,0.04961563606152342,1.2360442494373602,0.007435952559575076,-0.04090170029879747,1.0268438465184917,85,0.4235294117647059,0.12766169529521837,1.666509774473427,0.026438542587405633,-0.023990130087653272,1.0549695373877026,25,0.24,-0.21574096533303944,0.21157672722434984,-0.018484480986919682,-0.02599962895895569,0.9733398075750551
126,21,55,20,0.5,10,40,0.1,xmom_f126_skip21_b55_s20_atr0.5_ema10,688,370,0.3216216216216216,-0.014027618719859707,0.9309216945289882,-0.00709902723096989,-0.0582351505875216,0.9725875452854473,253,0.3201581027667984,0.0034975464778165023,1.0177021748075883,0.0012867149098372277,-0.0552363284614128,1.0030181524825,117,0.3247863247863248,-0.05192391611312535,0.7584286816151968,-0.02051033665832902,-0.04355702433177899,0.9696609606498783
252,21,20,20,0.5,20,40,0.1,xmom_f252_skip21_b20_s20_atr0.5_ema20,845,343,0.3323615160349854,0.0429964112905666,1.1744898298105013,0.018158706429793448,-0.0650776943479533,1.0728914787284856,226,0.3407079646017699,0.09278553462449167,1.4096018478070793,0.04237756290861516,-0.0650776943479533,1.1076815425428816,117,0.3162393162393162,-0.0531774508758186,0.8132973868744184,-0.02085680008976054,-0.04412852817902457,0.9685919982610438
