entry_date,exit_date,entry,exit,risk,r,mfe_r,status,days,ticker,side,signal_date,rank,momentum,config
2023-07-20,2023-08-04,192.39279363664537,182.95513345446872,25.645171499926732,-0.383013456138439,0.0811395390844171,ema_trail,12,AAPL,long,2023-07-19,0.9278846153846154,0.3642679229431023,xmom_f126_skip21_b55_s40_atr0.5_ema20
2023-07-19,2023-07-27,353.388368189592,332.60994176424407,51.91188584415818,-0.41387830190231645,0.01336072504399087,ema_trail,7,MSFT,long,2023-07-18,0.9439102564102564,0.4619186819585215,xmom_f126_skip21_b55_s40_atr0.5_ema20
2025-10-01,2025-10-15,185.00405809785752,184.56460739230218,23.862170791900297,-0.033922262513761736,0.4344432384722455,ema_trail,11,NVDA,long,2025-09-30,0.9124203821656051,0.6072346925633505,xmom_f126_skip21_b55_s40_atr0.5_ema20
2023-05-19,2023-07-18,65.24328280581013,87.14228820800781,8.205100216456643,2.6530472830698417,2.827243686721977,time,40,AVGO,long,2023-05-18,0.9004815409309791,0.22878424998354174,xmom_f126_skip21_b55_s40_atr0.5_ema20
2023-05-22,2023-07-19,65.37759359699133,86.9435806274414,8.316914154366707,2.5773058907914486,2.7730846521492243,time,40,AVGO,long,2023-05-19,0.9052969502407705,0.25631875662720427,xmom_f126_skip21_b55_s40_atr0.5_ema20
2023-05-24,2023-07-21,65.38142483700787,86.49796295166016,8.338123817443346,2.5168462023886056,2.7655712795316862,time,40,AVGO,long,2023-05-23,0.9004815409309791,0.25095033817757995,xmom_f126_skip21_b55_s40_atr0.5_ema20
2023-04-06,2023-06-02,90.36103567141232,101.85943603515625,12.640451030975015,0.8953539920899577,0.9766187654650935,time,40,ORCL,long,2023-04-05,0.9069020866773676,0.35708979474156055,xmom_f126_skip21_b55_s40_atr0.5_ema20
2024-11-07,2024-11-29,177.58376594919665,180.45717233288485,24.923094858726103,0.10104037504427842,0.5886561564872232,ema_trail,16,ORCL,long,2024-11-06,0.9601910828025477,0.4895844136311589,xmom_f126_skip21_b55_s40_atr0.5_ema20
2024-11-08,2024-11-29,182.6637481040748,180.45717233288485,27.052771698069307,-0.09506986182793467,0.3545348764803465,ema_trail,15,ORCL,long,2024-11-07,0.964968152866242,0.5328651566573395,xmom_f126_skip21_b55_s40_atr0.5_ema20
2023-05-10,2023-06-08,201.45473780869372,201.8872717862739,28.40151770428176,0.0010430605248373265,0.6942881829406319,ema_trail,21,CRM,long,2023-05-09,0.9036918138041734,0.3700365052270109,xmom_f126_skip21_b55_s40_atr0.5_ema20
