entry_date,exit_date,entry,exit,risk,r,mfe_r,status,days,ticker,side,signal_date,rank,momentum,config
2023-11-07,2023-12-07,351.83600759444016,361.2118749800961,52.4662187548858,0.1652910306149994,0.4791564440131014,ema_trail,22,MSFT,long,2023-11-06,0.9020866773675762,0.5422246745899495,xmom_f252_skip21_b20_s40_atr0.5_ema20
2024-01-11,2024-02-20,378.64313944413783,396.28600214507156,25.468541022409624,0.6629973977381717,1.3411188576617021,ema_trail,27,MSFT,long,2024-01-10,0.9118589743589743,0.6623295968960763,xmom_f252_skip21_b20_s40_atr0.5_ema20
2024-01-12,2024-02-20,378.1428865038529,396.28600214507156,25.128507084884177,0.6919165475878933,1.3791743960554068,ema_trail,26,MSFT,long,2024-01-11,0.9150641025641025,0.6368462734868932,xmom_f252_skip21_b20_s40_atr0.5_ema20
2023-10-12,2023-10-18,46.68989946190785,42.51168506984707,6.4941779258031005,-0.6577574929095203,0.12787630976298558,ema_trail,5,NVDA,long,2023-10-11,0.9967897271268058,2.8472531605572677,xmom_f252_skip21_b20_s40_atr0.5_ema20
2023-10-13,2023-10-18,46.87255588078778,42.51168506984707,6.671858619899467,-0.6676724098163532,0.02333855758921259,ema_trail,4,NVDA,long,2023-10-12,0.9967897271268058,2.9282606885667493,xmom_f252_skip21_b20_s40_atr0.5_ema20
2023-09-01,2023-09-08,86.99178864905019,82.47085669949473,9.908795005018675,-0.47381296358191366,0.0,ema_trail,5,AVGO,long,2023-08-31,0.9550561797752809,0.8141913718791443,xmom_f252_skip21_b20_s40_atr0.5_ema20
2023-10-13,2023-10-23,88.15708073256963,83.20709144022366,12.166704026223101,-0.42133871611919654,0.1347921063933225,ema_trail,7,AVGO,long,2023-10-12,0.9550561797752809,1.0216635012505275,xmom_f252_skip21_b20_s40_atr0.5_ema20
2024-05-15,2024-05-31,135.02381874194919,133.20003824775029,19.937049567697088,-0.10502196549058661,0.3209578051939078,ema_trail,12,AVGO,long,2024-05-14,0.9663461538461539,1.1177364364954707,xmom_f252_skip21_b20_s40_atr0.5_ema20
2024-12-12,2025-01-28,178.1741866560525,205.39058801824783,26.109084776747437,1.028762716830449,2.6760552141747707,ema_trail,30,AVGO,long,2024-12-11,0.9137380191693291,0.7650577882059366,xmom_f252_skip21_b20_s40_atr0.5_ema20
2023-05-18,2023-07-07,95.97236632265567,110.46873110815906,12.891388537938994,1.10961049779553,2.0721557848559375,ema_trail,34,ORCL,long,2023-05-17,0.9069020866773676,0.40832297825967134,xmom_f252_skip21_b20_s40_atr0.5_ema20
2023-08-30,2023-09-12,116.5324528715122,105.71962428809908,10.812828583413122,-1.0215544807674604,0.5981406295300162,stop,9,ORCL,long,2023-08-29,0.9245585874799358,0.5966048260782562,xmom_f252_skip21_b20_s40_atr0.5_ema20
2023-09-06,2023-09-12,118.79129207040535,105.85276630284967,12.938525767555674,-1.0183624153484756,0.32528844264031226,stop,5,ORCL,long,2023-09-05,0.9036918138041734,0.5451529560635149,xmom_f252_skip21_b20_s40_atr0.5_ema20
2023-09-07,2023-09-12,119.53457442933585,105.89058321606133,13.643991213274518,-1.0175219365889123,0.2539924340238221,stop,4,ORCL,long,2023-09-06,0.9101123595505618,0.5805800641287739,xmom_f252_skip21_b20_s40_atr0.5_ema20
2023-09-08,2023-09-12,120.47093102079576,105.87329613425901,14.597634886536753,-1.0165055410629438,0.17325504893480378,stop,3,ORCL,long,2023-09-07,0.9101123595505618,0.5867965473740211,xmom_f252_skip21_b20_s40_atr0.5_ema20
