rank,asc,slots,risk,gross,cagr,dd_intraday,final_x,boot_cagr_p05,boot_cagr_p50,boot_cagr_p95,boot_dd_p50,boot_dd_p05,p_ruin,p_hit_300,p_hit_50
none,False,10,0.05,4.0,0.20516415707481994,-0.6580430155465309,15.151920396946823,0.025190146045193464,0.21266522234194607,0.41465757261836694,-0.6591508772914132,-0.8569340616948625,0.0026666666666666666,0.0,0.016666666666666666
none,False,10,0.2,4.0,0.20516415707481994,-0.6580430155465309,15.151920396946823,0.025190146045193464,0.21266522234194607,0.41465757261836694,-0.6591508772914132,-0.8569340616948625,0.0026666666666666666,0.0,0.016666666666666666
none,False,10,0.3,4.0,0.20516415707481994,-0.6580430155465309,15.151920396946823,0.025190146045193464,0.21266522234194607,0.41465757261836694,-0.6591508772914132,-0.8569340616948625,0.0026666666666666666,0.0,0.016666666666666666
none,False,10,0.1,4.0,0.20516415707481994,-0.6580430155465309,15.151920396946823,0.025190146045193464,0.21266522234194607,0.41465757261836694,-0.6591508772914132,-0.8569340616948625,0.0026666666666666666,0.0,0.016666666666666666
none,False,10,0.3,3.0,0.18083764380866207,-0.6369240081517571,11.258396656207507,0.016715025854722745,0.18836153127746869,0.37873831088428883,-0.6343153723754624,-0.8454348341204875,0.002,0.0,0.004666666666666667
none,False,10,0.05,3.0,0.18083764380866207,-0.6369240081517571,11.258396656207507,0.016715025854722745,0.18836153127746869,0.37873831088428883,-0.6343153723754624,-0.8454348341204875,0.002,0.0,0.004666666666666667
none,False,10,0.1,3.0,0.18083764380866207,-0.6369240081517571,11.258396656207507,0.016715025854722745,0.18836153127746869,0.37873831088428883,-0.6343153723754624,-0.8454348341204875,0.002,0.0,0.004666666666666667
none,False,10,0.2,3.0,0.18083764380866207,-0.6369240081517571,11.258396656207507,0.016715025854722745,0.18836153127746869,0.37873831088428883,-0.6343153723754624,-0.8454348341204875,0.002,0.0,0.004666666666666667
none,False,5,0.3,4.0,0.17790522430074507,-0.5714844045404315,10.857960519734114,0.019078734106937247,0.1797435237790882,0.36099916376062136,-0.594416923046955,-0.8064928498412781,0.0006666666666666666,0.0,0.004
none,False,5,0.2,4.0,0.17790522430074507,-0.5714844045404315,10.857960519734114,0.019078734106937247,0.1797435237790882,0.36099916376062136,-0.594416923046955,-0.8064928498412781,0.0006666666666666666,0.0,0.004
none,False,5,0.1,4.0,0.17790522430074507,-0.5714844045404315,10.857960519734114,0.019078734106937247,0.1797435237790882,0.36099916376062136,-0.594416923046955,-0.8064928498412781,0.0006666666666666666,0.0,0.004
atr_pct,True,2,0.1,3.0,0.17327825473747827,-0.45471099102771806,10.253007944877556,0.06689163301774015,0.17348815039334986,0.30351592094137,-0.42599795073354396,-0.5618682693400363,0.0,0.0,0.0
