rank,asc,slots,risk,gross,cagr,dd_intraday,final_x,boot_cagr_p05,boot_cagr_p50,boot_cagr_p95,boot_dd_p50,boot_dd_p05,p_ruin,p_hit_300,p_hit_50
ret126,False,20,0.2,2.0,0.0947304342855615,-0.5487133675029621,3.7370047040243657,-0.04369156609363704,0.10226889345986612,0.25256984165766666,-0.6268872139280655,-0.8511432211171325,0.004,0.0,0.0
atr_pct,True,10,0.2,2.0,0.0937301499626948,-0.6863341752109557,3.687576852067177,-0.04057657527178515,0.10109272575202921,0.24865169869025866,-0.606383871067655,-0.84560347162149,0.0033333333333333335,0.0,0.0
dist_hh60,False,20,0.2,2.0,0.089911839524772,-0.657974940115237,3.50444299798235,-0.04724422150995326,0.09640168325020326,0.2514381783961471,-0.6302369469689041,-0.8550702346115713,0.005333333333333333,0.0,0.0
