tier,family,sl_atr,rr,signals,rule,train_n,train_per_year,train_win,train_avg_r,train_pf,train_bars,train_unres,train_risk_pct,train_pct_per_trade,train_ann_est,valid_n,valid_per_year,valid_win,valid_avg_r,valid_pf,valid_bars,valid_unres,valid_risk_pct,valid_pct_per_trade,valid_ann_est
all,pullback,1.5,4.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.34612105711849955,0.6048072175142848,1.7939869762753489,20.0,0.0,0.04335795923695665,0.029402822091004574,0.37047555834665763,692,172.88158795345655,0.34104046242774566,0.6219124290472351,1.8461816706830227,12.0,0.0,0.061100878873706924,0.03908759463216794,0.8208394872755268
all,pullback,1.5,6.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.23785166240409208,0.5153946561642901,1.5748587986052993,27.0,0.0,0.04335795923695665,0.016056545181129044,0.14986108835720444,692,172.88158795345655,0.3106936416184971,1.0854788681496952,2.411037724266346,12.0,0.0,0.061100878873706924,0.07268360262656395,1.526355655157843
all,pullback,2.0,0.5,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.7587382779198636,0.0833845673039327,1.3149679764788127,3.0,0.0,0.057810612315942145,0.006275030808295298,0.5271025878968051,692,172.88158795345655,0.6430635838150289,-0.08568393835966512,0.7854572788882626,4.0,0.0,0.08146783849827596,-0.008736111800705309,-0.5503750434444344
all,pullback,2.0,1.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.6283034953111679,0.19534605872415803,1.4789878449056972,6.0,0.0,0.057810612315942145,0.01510798992866007,0.634535577003723,692,172.88158795345655,0.5505780346820809,0.04453194617568067,1.0892040267677008,7.0,0.0,0.08146783849827596,0.0036998006790442844,0.13319282444559424
all,pullback,2.0,2.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.5200341005967605,0.48803022488940534,1.920627106307125,15.0,0.0,0.057810612315942145,0.031196115252409333,0.5240947362404768,692,172.88158795345655,0.45664739884393063,0.307983783572848,1.511825313769343,14.0,0.0,0.08146783849827596,0.02763410121993908,0.49741382195890343
all,pullback,2.0,3.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.4032395566922421,0.510443808181307,1.7465932869278626,28.0,0.0,0.057810612315942145,0.03345974142355221,0.3011376728119699,692,172.88158795345655,0.4263005780346821,0.6381531889302824,2.006949035123476,21.0,0.0,0.08146783849827596,0.050643879084174975,0.6077265490100997
all,pullback,2.0,4.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.3205456095481671,0.48831617862218574,1.6264004525761981,38.0,0.0,0.057810612315942145,0.024940389607468888,0.16539416266005683,692,172.88158795345655,0.4060693641618497,0.9602814585394313,2.4648368177721536,24.0,0.0,0.08146783849827596,0.08010846795987422,0.8411389135786793
all,pullback,2.0,6.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.24808184143222506,0.6179233323800293,1.71931902114595,49.0,0.0,0.057810612315942145,0.02415864457460118,0.12424445781223464,692,172.88158795345655,0.3208092485549133,1.1626766454164315,2.5359944367727203,29.0,0.0,0.08146783849827596,0.0996891867362274,0.866264657156183
all,pullback,3.0,0.5,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.7612958226768969,0.1057359319390628,1.414625912928415,6.0,0.0,0.0867159184739133,0.0126340493893643,0.5306300743533007,690,172.38193018480493,0.6884057971014492,-0.00236165546871572,0.9930156232121606,7.0,0.0,0.12210013629863445,-0.002260106205583514,-0.08136382340100652
all,pullback,3.0,1.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.6939471440750213,0.34797502018918386,2.0616755627249272,13.0,0.0,0.0867159184739133,0.03667570757785179,0.7109444853552809,690,172.38193018480493,0.6,0.16536138454779206,1.3846008464753616,14.0,0.0,0.12210013629863445,0.023646544796355484,0.42563780633439874
all,pullback,3.0,2.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.49701619778346123,0.4218553573830317,1.7544617712483752,40.0,0.0,0.0867159184739133,0.04104225532269977,0.25856620853300855,690,172.38193018480493,0.5057971014492754,0.4783393695671577,1.9067906507154926,32.0,0.0,0.12210013629863445,0.05811280990682272,0.4576383780162289
all,pullback,3.0,3.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1170,167.01212358232303,0.3581196581196581,0.3533873460788475,1.49798753625188,67.0,0.0,0.08667915398855947,0.019103562470541003,0.0718522051130796,690,172.38193018480493,0.463768115942029,0.8098361853204683,2.410240277795485,52.0,0.0,0.12210013629863445,0.10635853657171282,0.5154298310783006
all,pullback,3.0,4.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1169,166.86937817755182,0.32164242942686055,0.5282322254822749,1.706210542209826,85.0,0.0,0.08666980706211933,0.02880335278859388,0.08539346944383126,690,172.38193018480493,0.37971014492753624,0.8410669582795168,2.24860213821562,70.0,0.0,0.12210013629863445,0.10952387796484517,0.3942859606734426
all,pullback,3.0,6.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1169,166.86937817755182,0.2985457656116339,0.9972539535867463,2.2888781791667405,119.0,0.006843455945252352,0.08666980706211933,0.06195092184082176,0.13119018742762253,690,172.38193018480493,0.21014492753623187,0.38481325167064745,1.4401625229370643,78.0,0.0,0.12210013629863445,0.06768604079885937,0.21867797796554564
all,pullback,1.0,0.5,2022,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.15, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": false}",713,101.77747360187719,0.6774193548387096,-0.09153616910771094,0.7625103617072603,1.0,0.0,0.035958626636860426,-0.0018044817073720046,-0.45472939025774517,544,135.90691307323752,0.5588235294117647,-0.25455039403043334,0.5061946610357084,2.0,0.0,0.04784816574332561,-0.012264782784636911,-1.5453626308642507
all,pullback,1.0,1.0,2022,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.15, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": false}",713,101.77747360187719,0.5568022440392707,-0.0030680359680932737,0.9941452095956357,2.0,0.0,0.035958626636860426,0.0016654908040165959,0.20985184130609108,544,135.90691307323752,0.39889705882352944,-0.3245636387394542,0.5497165534215747,2.0,0.0,0.04784816574332561,-0.016586119786052088,-2.089851093042563
all,pullback,1.0,2.0,2022,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.15, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": false}",713,101.77747360187719,0.4221598877980365,0.14214109481625564,1.2102381426329651,4.0,0.0,0.035958626636860426,0.007311566840508931,0.46062871095206265,544,135.90691307323752,0.29963235294117646,-0.24792332892662405,0.705053854285643,3.0,0.0,0.04784816574332561,-0.01177427555744701,-0.9890391468255487
all,pullback,1.0,3.0,2022,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.15, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": false}",713,101.77747360187719,0.37727910238429174,0.3817251340075346,1.5256459747079927,6.0,0.0,0.035958626636860426,0.015459442269003193,0.6492965752981341,544,135.90691307323752,0.23713235294117646,-0.20566867856044477,0.7749957569236745,3.0,0.0,0.04784816574332561,-0.01059997844650128,-0.8903981895061075
all,pullback,1.0,4.0,2022,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.15, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": false}",713,101.77747360187719,0.3267882187938289,0.5023972954048936,1.6411661419184218,7.0,0.0,0.035958626636860426,0.017920252565297383,0.6451290923507058,544,135.90691307323752,0.19852941176470587,-0.17211358328973023,0.8222847248626625,4.0,0.0,0.04784816574332561,-0.008854123816646457,-0.5578098004487269
all,pullback,1.0,6.0,2022,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.15, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": false}",713,101.77747360187719,0.2496493688639551,0.6011893943638195,1.6824576654686696,7.0,0.0,0.035958626636860426,0.02022681472498132,0.7281653300993275,544,135.90691307323752,0.1801470588235294,0.0874972361449392,1.0884443665757804,4.0,0.0,0.04784816574332561,0.0028202695122430572,0.1776769792713126
all,pullback,1.5,0.5,2022,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.15, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": false}",713,101.77747360187719,0.7391304347826086,0.05091825424187283,1.176612070139954,2.0,0.0,0.05393793995529054,0.004808006378508152,0.6058088036920272,544,135.90691307323752,0.59375,-0.170439440586471,0.6332267105218692,3.0,0.0,0.07177224861498835,-0.01041172381247896,-0.8745848002482326
all,pullback,1.5,1.0,2022,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.15, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": false}",713,101.77747360187719,0.6002805049088359,0.13722865917751764,1.3110804365473663,4.0,0.0,0.05393793995529054,0.009799730306536783,0.6173830093118173,544,135.90691307323752,0.4963235294117647,-0.09271696332052344,0.8399480593968047,4.0,0.0,0.07177224861498835,-0.002724019616877504,-0.17161323586328275
