rank,asc,slots,risk,gross,cagr,dd_intraday,final_x,boot_cagr_p05,boot_cagr_p50,boot_cagr_p95,boot_dd_p50,boot_dd_p05,p_ruin,p_hit_300,p_hit_50
ret126,False,5,0.3,3.0,0.31595705141793773,-0.33749117070626544,54.55056482490143,0.15980909116403094,0.3109982146951191,0.5203569249639212,-0.3782865865595949,-0.5221819976646721,0.0,0.0,0.066
ret126,False,5,0.2,3.0,0.31595705141793773,-0.33749117070626544,54.55056482490143,0.15980909116403094,0.3109982146951191,0.5203569249639212,-0.3782865865595949,-0.5221819976646721,0.0,0.0,0.066
ret126,False,5,0.1,3.0,0.31595705141793773,-0.33749117070626544,54.55056482490143,0.15980909116403094,0.3109982146951191,0.5203569249639212,-0.3782865865595949,-0.5221819976646721,0.0,0.0,0.066
atr_pct,False,10,0.1,3.0,0.3124500576581166,-0.6245994507038279,52.47096153616782,0.10749907709520362,0.3156057699689234,0.5626177640220343,-0.5853544520169962,-0.784188338354464,0.0006666666666666666,0.0,0.108
atr_pct,False,10,0.3,3.0,0.3124500576581166,-0.6245994507038279,52.47096153616782,0.10749907709520362,0.3156057699689234,0.5626177640220343,-0.5853544520169962,-0.784188338354464,0.0006666666666666666,0.0,0.108
atr_pct,False,10,0.2,3.0,0.3124500576581166,-0.6245994507038279,52.47096153616782,0.10749907709520362,0.3156057699689234,0.5626177640220343,-0.5853544520169962,-0.784188338354464,0.0006666666666666666,0.0,0.108
dist_hh60,False,10,0.1,3.0,0.27704095204833257,-0.40989353099933434,35.229960673235,0.12524050725164915,0.27930091593398587,0.45634725574545015,-0.42416219904306174,-0.600558012011489,0.0,0.0,0.02666666666666667
dist_hh60,False,10,0.2,3.0,0.27704095204833257,-0.40989353099933434,35.229960673235,0.12524050725164915,0.27930091593398587,0.45634725574545015,-0.42416219904306174,-0.600558012011489,0.0,0.0,0.02666666666666667
dist_hh60,False,10,0.3,3.0,0.27704095204833257,-0.40989353099933434,35.229960673235,0.12524050725164915,0.27930091593398587,0.45634725574545015,-0.42416219904306174,-0.600558012011489,0.0,0.0,0.02666666666666667
ret126,False,3,0.3,3.0,0.2591407039814435,-0.48890552077909977,28.68258530625599,0.08125776360547131,0.26127701025290007,0.4708128198301053,-0.5547875924207909,-0.7413317314828932,0.0,0.0,0.03333333333333333
ret126,False,3,0.2,3.0,0.2591407039814435,-0.48890552077909977,28.68258530625599,0.08125776360547131,0.26127701025290007,0.4708128198301053,-0.5547875924207909,-0.7413317314828932,0.0,0.0,0.03333333333333333
rsi2,True,10,0.2,3.0,0.25863428808057165,-0.5732429114633217,28.515018333828884,0.0954302962921439,0.26476681332154506,0.47089581059495933,-0.48080886889630026,-0.6864098973289434,0.0,0.0,0.029333333333333333
