rank,asc,slots,risk,gross,cagr,dd_intraday,final_x,boot_cagr_p05,boot_cagr_p50,boot_cagr_p95,boot_dd_p50,boot_dd_p05,p_ruin,p_hit_300,p_hit_50
none,False,10,0.2,14.0,0.26077638621409394,-0.6519833607126198,29.230098901997756,0.05408909269564671,0.2622114151892797,0.5237960587097983,-0.6800849330000445,-0.8612246312282682,0.0026666666666666666,0.0,0.064
none,False,10,0.2,10.0,0.2594058178833667,-0.6096464974894282,28.77067361289263,0.065303073770338,0.2574781676968467,0.5023297957529487,-0.6370360111391551,-0.8271577672400089,0.0,0.0,0.05333333333333334
none,False,10,0.2,8.0,0.25124541980908366,-0.5802166831063609,26.17153341291395,0.06210130138896056,0.25243420874715483,0.4832278576932592,-0.628948515189949,-0.8205661755979028,0.0,0.0,0.04066666666666666
rsi2,True,10,0.2,14.0,0.2428633594259737,-0.6534253211815104,23.73073432671144,0.0164590301876996,0.24298196233938185,0.5316889681739408,-0.7358594351219453,-0.9034531400966215,0.008,0.0,0.06666666666666667
