rank,asc,slots,risk,gross,n,cagr,dd,dd_intraday,final_x,wiped
none,False,10,0.2,1.0,500,0.06441556029864182,-0.3961467984503063,-0.3990509611537393,2.4824743515173475,False
none,False,10,0.2,2.0,553,0.06739130332903365,-0.7047483228392379,-0.7103512729843351,2.5854996306241986,False
none,False,10,0.2,3.0,580,0.18083764380866207,-0.6196627715303688,-0.6369240081517571,11.258396656207507,False
none,False,10,0.2,4.0,580,0.20516415707481994,-0.6368033111114884,-0.6580430155465309,15.151920396946823,False
none,False,10,0.2,5.0,580,0.2131721848914614,-0.6246260646941283,-0.6447891508904501,16.686341765988224,False
none,False,10,0.2,6.0,580,0.22245384251861067,-0.5874383118420468,-0.6004908620722234,18.645449978792524,False
none,False,10,0.2,8.0,580,0.25124541980908366,-0.5553529264935156,-0.5802166831063609,26.17153341291395,False
none,False,10,0.2,10.0,580,0.2594058178833667,-0.5798260749287028,-0.6096464974894282,28.77067361289263,False
none,False,10,0.2,14.0,580,0.26077638621409394,-0.6191486366018099,-0.6519833607126198,29.230098901997756,False
ret126,False,10,0.2,1.0,542,0.08878101157862894,-0.3727883993834874,-0.3773078193009083,3.4518543705000697,False
ret126,False,10,0.2,2.0,551,0.05124638807267279,-0.4881496069512906,-0.4890111111204063,2.0707812917413015,False
ret126,False,10,0.2,3.0,603,0.13758881385681043,-0.6845550488563014,-0.7021873019690323,6.538025099680242,False
ret126,False,10,0.2,4.0,572,0.09379531813590236,-0.8264994589335145,-0.8277961304350252,3.6907784248024527,False
ret126,False,10,0.2,5.0,598,0.15253098714406965,-0.8409807664982013,-0.8430296778752316,7.906656139826873,False
ret126,False,10,0.2,6.0,570,-0.0736683640516882,-0.9917676603844638,-0.992025249764162,0.3280513644674774,True
ret126,False,10,0.2,8.0,247,-1.0,-1.0,-1.0264619874284902,0.0,True
ret126,False,10,0.2,10.0,126,-1.0,-1.0,-1.0,0.0,True
ret126,False,10,0.2,14.0,122,-1.0,-1.0,-1.0327426346049446,0.0,True
ret126,True,10,0.2,1.0,459,0.05792652303844403,-0.3831090668361564,-0.3764620237562011,2.2709281353721313,False
ret126,True,10,0.2,2.0,500,0.0033848181825630874,-0.8510025359068452,-0.8542305171927747,1.0504491834503633,False
ret126,True,10,0.2,3.0,480,-0.06984942498023428,-0.9217129963492875,-0.9219476767940705,0.3483106071104535,False
ret126,True,10,0.2,4.0,490,-0.06330871630121249,-0.9714561712333054,-0.9714771958240533,0.38573790285098286,False
ret126,True,10,0.2,5.0,498,-0.11385730796980598,-0.9745004173384374,-0.9744459450557609,0.17193788798590692,False
ret126,True,10,0.2,6.0,297,-1.0,-1.0,-1.0,0.0,True
ret126,True,10,0.2,8.0,240,-1.0,-1.0,-1.037408923594636,0.0,True
ret126,True,10,0.2,10.0,261,-1.0,-1.0,-1.0010174345745158,0.0,True
ret126,True,10,0.2,14.0,125,-1.0,-1.0,-1.0004515172100519,0.0,True
ret252,False,10,0.2,1.0,553,0.041913242460512645,-0.47687855532113954,-0.47378980519309055,1.8185413046122423,False
ret252,False,10,0.2,2.0,592,0.011794701280323672,-0.7513184857894312,-0.7519241251930165,1.1862403185138375,False
ret252,False,10,0.2,3.0,588,-0.02592208412443231,-0.9031851734714473,-0.9025732128548601,0.6821235176311699,False
ret252,False,10,0.2,4.0,588,-0.11297254494708509,-0.9787088804948695,-0.9789173988625864,0.1744553314864869,False
ret252,False,10,0.2,5.0,575,-0.11750869559932531,-0.991676829986673,-0.9917222461736792,0.16190214488036792,True
ret252,False,10,0.2,6.0,429,-1.0,-1.0,-1.0,0.0,True
ret252,False,10,0.2,8.0,527,-1.0,-1.0,-1.0,0.0,True
ret252,False,10,0.2,10.0,531,-1.0,-1.0,-1.0,0.0,True
