rank,asc,slots,risk,gross,n,cagr,dd,dd_intraday,final_x,wiped
ret252,False,20,0.2,4.0,1111,-0.03439873937641402,-0.948151016224474,-0.9505093742013377,0.600585358993004,False
ret252,False,20,0.2,6.0,524,-1.0,-1.0,-1.0,0.0,True
ret252,False,20,0.2,8.0,448,-1.0,-1.0,-1.0,0.0,True
ret252,False,20,0.2,12.0,181,-1.0,-1.0,-1.0,0.0,True
ret252,False,20,0.2,16.0,176,-1.0,-1.0,-1.04988832739484,0.0,True
ret252,False,20,0.2,24.0,32,-1.0,-1.0,-1.0064327004109621,0.0,True
ret252,True,10,0.2,1.0,462,0.07701168425884686,-0.39415396646123557,-0.3935691475836538,2.946470800154343,False
ret252,True,10,0.2,2.0,475,0.02832147220114556,-0.819267553510207,-0.8172867381975618,1.5019723334309993,False
ret252,True,10,0.2,4.0,472,-0.03825244600499522,-0.9683539555449586,-0.9710055095020281,0.566602621419747,True
ret252,True,10,0.2,6.0,228,-1.0,-1.0,-1.0017724869020335,0.0,True
ret252,True,10,0.2,8.0,207,-1.0,-1.0,-1.0054248764973532,0.0,True
ret252,True,10,0.2,12.0,77,-1.0,-1.0,-1.0,0.0,True
ret252,True,10,0.2,16.0,71,-1.0,-1.0,-1.0311093287894737,0.0,True
ret252,True,20,0.2,1.0,971,0.04121805500784537,-0.403654850815821,-0.3981242767399754,1.8009478726073536,False
ret252,True,20,0.2,2.0,966,0.010676117644963234,-0.7612701905234495,-0.7642093046382181,1.167281274188691,False
ret252,True,20,0.2,4.0,962,-0.058769537088917856,-0.9653963907923032,-0.9680636637680775,0.41387790188922047,False
ret252,True,20,0.2,6.0,558,-1.0,-1.0,-1.0002137029496008,0.0,True
ret252,True,20,0.2,8.0,450,-1.0,-1.0,-1.023698910738466,0.0,True
ret252,True,20,0.2,12.0,139,-1.0,-1.0,-1.0117852996043655,0.0,True
ret252,True,20,0.2,16.0,132,-1.0,-1.0,-1.0642472104079146,0.0,True
ret252,True,20,0.2,24.0,31,-1.0,-1.0,-1.0,0.0,True
atr_pct,False,10,0.2,1.0,492,0.0288922024820939,-0.5555471390655068,-0.5579788424897274,1.5141600111574853,False
atr_pct,False,10,0.2,2.0,487,0.05620144136683636,-0.7286252558930721,-0.7256883489576642,2.2175845863252053,False
atr_pct,False,10,0.2,4.0,451,-0.08422214097039293,-0.9923643663189914,-0.9924325698284601,0.2776255210620381,False
atr_pct,False,10,0.2,6.0,98,-1.0,-1.0,-1.0002695777271913,0.0,True
atr_pct,False,10,0.2,8.0,87,-1.0,-1.0,-1.005744950028987,0.0,True
atr_pct,False,10,0.2,12.0,84,-1.0,-1.0,-1.0681274388565076,0.0,True
atr_pct,False,10,0.2,16.0,59,-1.0,-1.0,-1.0732570175654725,0.0,True
atr_pct,False,20,0.2,1.0,980,0.06484024102328623,-0.352929506326636,-0.36033230540358085,2.4969398417085147,False
atr_pct,False,20,0.2,2.0,1007,0.011656199489798125,-0.7754201829622808,-0.7763010367831665,1.1838773719876676,False
atr_pct,False,20,0.2,4.0,965,-0.14206100125182342,-0.980964705872372,-0.9802333625941138,0.10734164336160966,True
atr_pct,False,20,0.2,6.0,545,-1.0,-1.0,-1.0,0.0,True
atr_pct,False,20,0.2,8.0,174,-1.0,-1.0,-1.0,0.0,True
atr_pct,False,20,0.2,12.0,183,-1.0,-1.0,-1.0444336523636677,0.0,True
