name,strategy,side,ema_zone,rsi_lo,rsi_hi,volume_ratio,stop_lookback,atr_buffer,target_lookback,min_rr,max_hold,require_reversal,momentum_min,is_n,is_win_rate,is_avg_r,is_median_r,is_profit_factor,is_max_dd_r,is_avg_hold,is_avg_planned_rr,oos_n,oos_win_rate,oos_avg_r,oos_median_r,oos_profit_factor,oos_max_dd_r,oos_avg_hold,oos_avg_planned_rr,oos_score
reversion_short_rsi2_2_stop20_atr1.0_hold10,reversion,short,0,2,98,1.0,20,1.0,20,0,10,False,0,423,0.539,-0.0291,0.0614,0.918,-25.92,4.3,,78,0.4872,-0.1768,-0.0359,0.545,-16.46,5.4,,-1.5614553211667637
reversion_long_rsi2_5_stop20_atr0.5_hold10,reversion,long,0,5,95,1.0,20,0.5,20,0,10,False,0,2986,0.5368,-0.0197,0.053,0.955,-92.19,3.9,,2233,0.5401,-0.0347,0.0776,0.92,-96.95,3.7,,-1.6397356402786396
reversion_short_rsi2_10_stop20_atr1.5_hold10,reversion,short,0,10,90,1.0,20,1.5,20,0,10,False,0,2370,0.6224,-0.0182,0.0887,0.912,-51.77,4.8,,388,0.4716,-0.0918,-0.0399,0.598,-35.56,6.1,,-1.8082502924097648
reversion_short_rsi2_5_stop20_atr1.5_hold10,reversion,short,0,5,95,1.0,20,1.5,20,0,10,False,0,1235,0.6283,0.0001,0.0983,1.0,-22.99,4.8,,217,0.4747,-0.1335,-0.0462,0.52,-29.42,6.1,,-1.9665778016646074
reversion_short_rsi2_10_stop20_atr1.0_hold10,reversion,short,0,10,90,1.0,20,1.0,20,0,10,False,0,2425,0.5942,-0.0413,0.0844,0.851,-100.66,4.4,,391,0.4706,-0.1,-0.045,0.633,-39.05,6.0,,-1.977371993328519
reversion_long_rsi2_5_stop20_atr0.5_hold5,reversion,long,0,5,95,1.0,20,0.5,20,0,5,False,0,3063,0.5113,-0.0305,0.0169,0.929,-132.28,3.5,,2276,0.5185,-0.0417,0.0479,0.902,-113.56,3.3,,-1.989400321705011
reversion_short_rsi2_5_stop20_atr0.5_hold5,reversion,short,0,5,95,1.0,20,0.5,20,0,5,False,0,1342,0.5127,-0.0908,0.0272,0.797,-155.38,3.4,,226,0.3938,-0.1385,-0.1129,0.617,-36.62,4.1,,-2.0821115484046477
reversion_short_rsi2_2_stop20_atr0.5_hold5,reversion,short,0,2,98,1.0,20,0.5,20,0,5,False,0,442,0.4502,-0.0789,-0.1691,0.852,-67.42,3.3,,79,0.3924,-0.2497,-0.1285,0.486,-22.2,3.7,,-2.2193821460037024
reversion_short_rsi2_10_stop20_atr0.5_hold10,reversion,short,0,10,90,1.0,20,0.5,20,0,10,False,0,2536,0.5481,-0.0906,0.0617,0.766,-248.07,3.9,,396,0.4646,-0.1187,-0.0619,0.672,-49.08,5.6,,-2.3621001756911157
reversion_short_rsi2_5_stop20_atr1.0_hold10,reversion,short,0,5,95,1.0,20,1.0,20,0,10,False,0,1267,0.5959,-0.0201,0.1014,0.935,-40.04,4.4,,218,0.4679,-0.1644,-0.0556,0.525,-35.84,5.9,,-2.427336911102371
reversion_short_rsi2_5_stop20_atr0.5_hold10,reversion,short,0,5,95,1.0,20,0.5,20,0,10,False,0,1320,0.5333,-0.1053,0.05,0.772,-154.06,3.8,,221,0.4525,-0.2064,-0.0796,0.543,-45.92,5.3,,-3.0683565894465397
reversion_short_rsi2_2_stop20_atr0.5_hold10,reversion,short,0,2,98,1.0,20,0.5,20,0,10,False,0,438,0.4658,-0.0862,-0.1001,0.844,-66.34,3.7,,79,0.4177,-0.3563,-0.2837,0.404,-28.66,4.7,,-3.166863670889544
