rank,asc,slots,risk,max_gross,n,all_cagr,all_dd,all_mar,all_dd_intraday,train_cagr,train_dd,train_mar,valid_cagr,valid_dd,valid_mar,hold_cagr,hold_dd,hold_mar,worst_year,neg_years,years,avg_r,win
none,False,15,0.02,1.0,1068,0.09004993358878521,-0.3059289849103465,0.2943491399325064,-0.3056215129620867,0.07464067606481439,-0.2306948307583454,0.32354724126003964,0.07422357819304626,-0.23563450703625521,0.31499451895484076,0.15290071261340676,-0.19530213731376056,0.7828931865080706,-0.20457280822464052,3,"{""2011"": 0.0, ""2012"": 0.1119, ""2013"": 0.2872, ""2014"": 0.1969, ""2015"": -0.0718, ""2016"": 0.1389, ""2017"": 0.0852, ""2018"": -0.1582, ""2019"": 0.2413, ""2020"": 0.0256, ""2021"": 0.3101, ""2022"": -0.2046, ""2023"": 0.0453, ""2024"": 0.2108, ""2025"": 0.0905, ""2026"": 0.2032}",0.226188286335245,0.4288389513108614
none,False,15,0.05,1.0,1068,0.09004993358878521,-0.3059289849103465,0.2943491399325064,-0.3056215129620867,0.07464067606481439,-0.2306948307583454,0.32354724126003964,0.07422357819304626,-0.23563450703625521,0.31499451895484076,0.15290071261340676,-0.19530213731376056,0.7828931865080706,-0.20457280822464052,3,"{""2011"": 0.0, ""2012"": 0.1119, ""2013"": 0.2872, ""2014"": 0.1969, ""2015"": -0.0718, ""2016"": 0.1389, ""2017"": 0.0852, ""2018"": -0.1582, ""2019"": 0.2413, ""2020"": 0.0256, ""2021"": 0.3101, ""2022"": -0.2046, ""2023"": 0.0453, ""2024"": 0.2108, ""2025"": 0.0905, ""2026"": 0.2032}",0.226188286335245,0.4288389513108614
none,False,20,0.005,1.0,1433,0.07558249004271245,-0.27723329644599093,0.27263135781901654,-0.282776032402574,0.08545601726097374,-0.23485954137458342,0.36386010447273154,0.034523131573348076,-0.2351711596951086,0.14680002266479503,0.11503135884077254,-0.20406417893414575,0.563701867920164,-0.17841562432562985,4,"{""2011"": 0.0, ""2012"": 0.1236, ""2013"": 0.3746, ""2014"": 0.1465, ""2015"": -0.0653, ""2016"": 0.1385, ""2017"": 0.1301, ""2018"": -0.1669, ""2019"": 0.1786, ""2020"": -0.0303, ""2021"": 0.2158, ""2022"": -0.1784, ""2023"": 0.0818, ""2024"": 0.1636, ""2025"": 0.0558, ""2026"": 0.108}",0.22570013307673628,0.4305652477320307
none,False,20,0.01,1.0,1456,0.07934216294981566,-0.329954057543684,0.24046427414917065,-0.33270390198641364,0.08496874937601007,-0.25693986878471375,0.33069507576967033,0.044614581476772,-0.24880065387553862,0.1793185861122786,0.12011626272962528,-0.2198236427687853,0.5464210365031839,-0.19207787587406777,3,"{""2011"": 0.0, ""2012"": 0.1071, ""2013"": 0.3622, ""2014"": 0.1267, ""2015"": -0.0636, ""2016"": 0.1472, ""2017"": 0.1465, ""2018"": -0.1548, ""2019"": 0.1089, ""2020"": 0.0529, ""2021"": 0.2588, ""2022"": -0.1921, ""2023"": 0.0776, ""2024"": 0.1881, ""2025"": 0.0667, ""2026"": 0.0958}",0.19602749138424835,0.4217032967032967
none,False,20,0.02,1.0,1456,0.07934216294981566,-0.329954057543684,0.24046427414917065,-0.33270390198641364,0.08496874937601007,-0.25693986878471375,0.33069507576967033,0.044614581476772,-0.24880065387553862,0.1793185861122786,0.12011626272962528,-0.2198236427687853,0.5464210365031839,-0.19207787587406777,3,"{""2011"": 0.0, ""2012"": 0.1071, ""2013"": 0.3622, ""2014"": 0.1267, ""2015"": -0.0636, ""2016"": 0.1472, ""2017"": 0.1465, ""2018"": -0.1548, ""2019"": 0.1089, ""2020"": 0.0529, ""2021"": 0.2588, ""2022"": -0.1921, ""2023"": 0.0776, ""2024"": 0.1881, ""2025"": 0.0667, ""2026"": 0.0958}",0.19602749138424835,0.4217032967032967
none,False,20,0.05,1.0,1456,0.07934216294981566,-0.329954057543684,0.24046427414917065,-0.33270390198641364,0.08496874937601007,-0.25693986878471375,0.33069507576967033,0.044614581476772,-0.24880065387553862,0.1793185861122786,0.12011626272962528,-0.2198236427687853,0.5464210365031839,-0.19207787587406777,3,"{""2011"": 0.0, ""2012"": 0.1071, ""2013"": 0.3622, ""2014"": 0.1267, ""2015"": -0.0636, ""2016"": 0.1472, ""2017"": 0.1465, ""2018"": -0.1548, ""2019"": 0.1089, ""2020"": 0.0529, ""2021"": 0.2588, ""2022"": -0.1921, ""2023"": 0.0776, ""2024"": 0.1881, ""2025"": 0.0667, ""2026"": 0.0958}",0.19602749138424835,0.4217032967032967
none,False,30,0.005,1.0,2185,0.07504370307696018,-0.30095960307649494,0.2493480929328788,-0.2984882812777877,0.0785417442398968,-0.24114181407314772,0.325707694212137,0.028540290406583013,-0.25124072415642995,0.11359738952516703,0.133887837637497,-0.200329187513819,0.668339143682002,-0.22281271495381905,3,"{""2011"": 0.0, ""2012"": 0.0801, ""2013"": 0.3883, ""2014"": 0.1122, ""2015"": -0.0762, ""2016"": 0.0795, ""2017"": 0.2087, ""2018"": -0.1559, ""2019"": 0.1296, ""2020"": 0.0227, ""2021"": 0.2428, ""2022"": -0.2228, ""2023"": 0.1201, ""2024"": 0.2012, ""2025"": 0.0801, ""2026"": 0.076}",0.19693151406117004,0.4219679633867277
none,False,30,0.01,1.0,2197,0.07299076528693882,-0.320628016593687,0.22764936783249268,-0.3186876231446141,0.07262912708941283,-0.2625921352280731,0.27658530986212193,0.02855965157220952,-0.2512407241564296,0.11367445173588765,0.1369833361804944,-0.20355180272558593,0.6729654778109021,-0.2228127149538187,3,"{""2011"": 0.0, ""2012"": 0.0801, ""2013"": 0.3883, ""2014"": 0.1122, ""2015"": -0.0762, ""2016"": 0.0795, ""2017"": 0.2087, ""2018"": -0.1878, ""2019"": 0.1296, ""2020"": 0.0227, ""2021"": 0.2428, ""2022"": -0.2228, ""2023"": 0.1201, ""2024"": 0.2012, ""2025"": 0.0838, ""2026"": 0.0828}",0.1915749724354182,0.42057350933090576
none,False,30,0.02,1.0,2197,0.07299076528693882,-0.320628016593687,0.22764936783249268,-0.3186876231446141,0.07262912708941283,-0.2625921352280731,0.27658530986212193,0.02855965157220952,-0.2512407241564296,0.11367445173588765,0.1369833361804944,-0.20355180272558593,0.6729654778109021,-0.2228127149538187,3,"{""2011"": 0.0, ""2012"": 0.0801, ""2013"": 0.3883, ""2014"": 0.1122, ""2015"": -0.0762, ""2016"": 0.0795, ""2017"": 0.2087, ""2018"": -0.1878, ""2019"": 0.1296, ""2020"": 0.0227, ""2021"": 0.2428, ""2022"": -0.2228, ""2023"": 0.1201, ""2024"": 0.2012, ""2025"": 0.0838, ""2026"": 0.0828}",0.1915749724354182,0.42057350933090576
none,False,30,0.05,1.0,2197,0.07299076528693882,-0.320628016593687,0.22764936783249268,-0.3186876231446141,0.07262912708941283,-0.2625921352280731,0.27658530986212193,0.02855965157220952,-0.2512407241564296,0.11367445173588765,0.1369833361804944,-0.20355180272558593,0.6729654778109021,-0.2228127149538187,3,"{""2011"": 0.0, ""2012"": 0.0801, ""2013"": 0.3883, ""2014"": 0.1122, ""2015"": -0.0762, ""2016"": 0.0795, ""2017"": 0.2087, ""2018"": -0.1878, ""2019"": 0.1296, ""2020"": 0.0227, ""2021"": 0.2428, ""2022"": -0.2228, ""2023"": 0.1201, ""2024"": 0.2012, ""2025"": 0.0838, ""2026"": 0.0828}",0.1915749724354182,0.42057350933090576
ret252,False,5,0.005,1.0,394,0.011709825695614517,-0.12068609303727074,0.09702713378912883,-0.11978569602450229,0.00761976555536803,-0.10313091169406652,0.07388440022688582,0.013692961647393087,-0.07005831222377445,0.19545092099358838,0.01950727425607135,-0.07152380839227435,0.27273819298160346,-0.06496739938844398,7,"{""2011"": 0.0, ""2012"": -0.017, ""2013"": 0.0807, ""2014"": -0.0231, ""2015"": -0.0244, ""2016"": 0.0375, ""2017"": 0.0736, ""2018"": -0.065, ""2019"": 0.0278, ""2020"": 0.0402, ""2021"": 0.0064, ""2022"": -0.0203, ""2023"": -0.0435, ""2024"": 0.0962, ""2025"": 0.0315, ""2026"": -0.0095}",0.09942675641565724,0.383248730964467
ret252,False,5,0.01,1.0,394,0.020564864770201252,-0.23148390863378498,0.08883928430090375,-0.2310227651970217,0.012545101193938812,-0.19837373849582196,0.06323972764269414,0.024358968875830556,-0.13685743039738685,0.17798791636742337,0.03581563715195557,-0.14080936970648028,0.2543554965597383,-0.12919997327667831,7,"{""2011"": 0.0, ""2012"": -0.0361, ""2013"": 0.1649, ""2014"": -0.0418, ""2015"": -0.053, ""2016"": 0.077, ""2017"": 0.1419, ""2018"": -0.1292, ""2019"": 0.0545, ""2020"": 0.0749, ""2021"": 0.0094, ""2022"": -0.0411, ""2023"": -0.0891, ""2024"": 0.1947, ""2025"": 0.061, ""2026"": -0.0182}",0.09942675641565724,0.383248730964467
ret252,False,5,0.02,1.0,399,0.021245746492640993,-0.43385806399914684,0.048969347940212016,-0.4355289532387182,0.0016305843145909549,-0.3293167504331749,0.004951416265483385,0.03147620864233347,-0.2535043534016196,0.12416437122271674,0.054118196454583156,-0.27232561745914097,0.19872605801656876,-0.19080374418007506,8,"{""2011"": 0.0, ""2012"": -0.0612, ""2013"": 0.2907, ""2014"": -0.0517, ""2015"": -0.1208, ""2016"": 0.0903, ""2017"": 0.0832, ""2018"": -0.1523, ""2019"": 0.0687, ""2020"": 0.1447, ""2021"": -0.0035, ""2022"": -0.0787, ""2023"": -0.1908, ""2024"": 0.3526, ""2025"": 0.1384, ""2026"": -0.0316}",0.09818887113935973,0.38345864661654133
ret252,False,5,0.05,1.0,362,0.03351082220064239,-0.5511516788767854,0.06080145173273438,-0.5498681996877435,0.03858689630373591,-0.33622121356151635,0.11476639410997753,0.06843866058770609,-0.2513970671874076,0.2722333293438443,-0.006848827682688463,-0.4626528305928225,-0.014803384373359792,-0.38975058600534385,5,"{""2011"": 0.0, ""2012"": -0.1086, ""2013"": 0.1409, ""2014"": 0.0559, ""2015"": -0.1776, ""2016"": 0.0107, ""2017"": 0.3524, ""2018"": 0.0795, ""2019"": 0.2154, ""2020"": 0.1178, ""2021"": 0.0076, ""2022"": -0.0582, ""2023"": -0.3898, ""2024"": 0.4178, ""2025"": 0.2338, ""2026"": -0.0859}",0.09950111570205587,0.3867403314917127
ret252,False,10,0.005,1.0,764,0.02732271535203079,-0.21508441419047508,0.1270325209516774,-0.21577464058408002,0.04408683629850696,-0.16490448942617042,0.2673477020056821,0.00300630397170476,-0.13028870098634004,0.02307417257940082,0.026360496699042724,-0.10688576920986725,0.24662307147067086,-0.08636533916641442,5,"{""2011"": 0.0, ""2012"": 0.0096, ""2013"": 0.2431, ""2014"": 0.0032, ""2015"": -0.014, ""2016"": 0.0652, ""2017"": 0.1192, ""2018"": -0.0864, ""2019"": 0.0719, ""2020"": 0.0012, ""2021"": 0.0046, ""2022"": -0.0633, ""2023"": -0.0401, ""2024"": 0.1449, ""2025"": 0.0214, ""2026"": -0.0225}",0.12345219949347093,0.39267015706806285
