,strategy,strategy_intraday,spy
2025-08-17,4.1734,4.1131,6.4245
2025-08-24,4.2587,4.1528,6.4431
2025-08-31,4.2351,4.1885,6.4405
2025-09-07,4.218,4.144,6.4624
2025-09-14,4.2452,4.2006,6.564
2025-09-21,4.3817,4.2901,6.6451
2025-09-28,4.3492,4.3056,6.6263
2025-10-05,4.3354,4.2853,6.7003
2025-10-12,4.2673,4.2457,6.5382
2025-10-19,4.3475,4.3079,6.652
2025-10-26,4.3812,4.3466,6.7808
2025-11-02,4.263,4.2154,6.829
2025-11-09,4.1792,4.116,6.7179
2025-11-16,4.1708,4.118,6.7275
2025-11-23,4.1155,4.0269,6.5984
2025-11-30,4.2386,4.2006,6.8423
2025-12-07,4.1042,4.0731,6.8653
2025-12-14,4.1186,4.0808,6.8259
2025-12-21,4.0905,4.0489,6.8344
2025-12-28,4.1611,4.1251,6.932
2026-01-04,4.1521,4.0812,6.8603
2026-01-11,4.1547,4.0954,6.9697
2026-01-18,4.1625,4.1198,6.9455
2026-01-25,4.173,4.1291,6.9211
2026-02-01,4.1052,4.05,6.9486
2026-02-08,4.1707,4.1077,6.9351
2026-02-15,4.2242,4.1428,6.846
2026-02-22,4.2246,4.1544,6.9231
2026-03-01,4.1242,4.0489,6.8886
2026-03-08,3.8937,3.8381,6.7519
2026-03-15,3.913,3.8763,6.6506
2026-03-22,3.8339,3.7904,6.5306
2026-03-29,3.8457,3.8229,6.3848
2026-04-05,3.9097,3.8375,6.6037
2026-04-12,4.033,4.0048,6.8417
2026-04-19,4.1812,4.1177,7.1506
2026-04-26,4.1508,4.126,7.1888
2026-05-03,4.1097,4.0966,7.2564
2026-05-10,4.0974,4.0509,7.4273
2026-05-17,4.0351,4.0166,7.4429
2026-05-24,4.0131,3.9872,7.508
2026-05-31,4.0184,4.0075,7.6172
2026-06-07,4.0662,4.051,7.4266
2026-06-14,4.0946,4.0908,7.4689
2026-06-21,4.0851,4.0623,7.5385
2026-06-28,4.1309,4.1293,7.3593
2026-07-05,4.1241,4.1219,7.5187
2026-07-12,4.161,4.1581,7.6214
2026-07-19,4.1877,4.1797,7.5037
2026-07-26,4.1686,4.1599,7.4596
2026-08-02,4.1783,4.1783,7.4791
