trail,stop,buf,positions,raw,train_n,train_win,train_avg,train_cagr,train_mdd,train_multiple,validation_n,validation_win,validation_avg,validation_cagr,validation_mdd,validation_multiple,holdout_n,holdout_win,holdout_avg,holdout_cagr,holdout_mdd,holdout_multiple
20,10,0.25,3,720,106,0.4716981132075472,0.016411397026434838,0.11534738139816492,-0.18633387365170118,1.6690928402074101,52,0.23076923076923078,-0.0006834189515937437,-0.01725866782491403,-0.22768858875355547,0.954727266427535,33,0.36363636363636365,-0.0018459042491515286,-0.02297324618862573,-0.2345748093579728,0.9667148360851209
20,10,0.5,3,685,103,0.4854368932038835,0.01540253515745705,0.10589513123596372,-0.1777270435323245,1.60374529929309,46,0.2826086956521739,0.012664816201612474,0.06262811874289942,-0.14256918002450614,1.1754541330576953,33,0.36363636363636365,-0.003246076011429045,-0.03358861926305001,-0.24665774286863085,0.9514543622582986
20,10,0.25,2,720,76,0.4605263157894737,0.020692898528899484,0.1514075059865052,-0.19454322004747804,1.9378856114831977,38,0.23684210526315788,0.00026294580936122696,-0.018995140321942605,-0.28375550845449793,0.9502444965211536,25,0.36,-0.0031768033394949935,-0.039740704537829075,-0.24502013140933132,0.9426451433520915
20,10,0.5,1,685,43,0.4186046511627907,0.010232019617905505,0.04181812716683231,-0.3284337982548483,1.2119694480078977,21,0.23809523809523808,0.0038872675064555956,-0.013045268421983613,-0.276699655781539,0.9656591259916182,14,0.35714285714285715,-0.0033068476156902942,-0.05810202108907525,-0.2605163961375463,0.9165067702172545
20,10,0.25,1,720,43,0.4186046511627907,0.0081324672201697,0.01928301733708837,-0.3738779872615843,1.0937668489302914,22,0.22727272727272727,-0.0020995834869565314,-0.06289018697068172,-0.3698790517166527,0.8412577832321956,14,0.35714285714285715,-0.0033068476156902942,-0.05810202108907525,-0.2605163961375463,0.9165067702172545
20,10,0.5,2,685,74,0.47297297297297297,0.01822703694143005,0.12934713447510227,-0.19824077384865169,1.7697101423050137,34,0.2647058823529412,0.00817432987315865,0.034718463121291565,-0.15880217653530404,1.0950771092034204,25,0.36,-0.005376368402519551,-0.05863889727599847,-0.2665641183413109,0.9157459696194444
20,10,1.0,3,597,96,0.4791666666666667,0.013854794382430447,0.09069443665463761,-0.11235995973686197,1.5028942820475286,37,0.32432432432432434,0.02210496960752678,0.15507391002121973,-0.128256888650486,1.2802846951507618,32,0.28125,-0.006859095563068993,-0.06134997052367752,-0.25718950545083763,0.9168205376969185
20,40,1.0,3,134,56,0.44642857142857145,0.01039034299027133,0.04018472429880471,-0.17285798668754404,1.1981570814945004,10,0.3,0.0013182351088993683,0.00038219964989694155,-0.09949595983745374,1.0005891873091606,10,0.2,-0.03175085530653889,-0.09910503153890649,-0.08756790422594407,0.898388597992125
20,10,1.0,1,597,39,0.4358974358974359,0.01120987106202532,0.06100386181929651,-0.21864697486879225,1.3203266494594104,14,0.2857142857142857,0.016425062327900457,0.08785200465201792,-0.14658234849905072,1.1552522167833486,13,0.3076923076923077,-0.00846341591564839,-0.10130503913952105,-0.2685474903899202,0.8637174738324529
20,10,1.0,2,597,68,0.47058823529411764,0.01711281847945693,0.11651770787362703,-0.13226217597010415,1.6773273798143584,26,0.3076923076923077,0.017820214067830784,0.1198378936253337,-0.1355679870835741,1.2140784815270167,23,0.2608695652173913,-0.011061465398308589,-0.10140875380886705,-0.2671577513514941,0.8635807520305434
