ticker,signal_date,pa,osc,rsi14,mom21,mom63,mom126,rs63,atr_pct,ema20_dist,ema50_dist,vol_ratio,body_pct,lower_wick,close_location,spy_strength,qqq_strength,stop_pct,entry_date,exit_date,r,planned_rr,status
IWM,2023-08-29,4,2,49.89773256104474,-0.0527402121245654,0.0755058629703429,0.0067367917317695,0.5368589743589743,0.0155903904032933,0.0025545129104116,0.0018784981734731,0.9174841073798876,0.7078976533513247,0.2552602836537673,0.963157937005092,0.0691366139608455,0.1180337416671029,0.0341629788698995,2023-08-30,2023-09-19,-1.0585429042243786,1.5633268366735278,stop
IWM,2024-04-23,5,2,46.81887135831269,-0.0316966768354823,0.0158402174106078,0.2004571694348766,0.4392971246006389,0.018066445804399,-0.0042982196892196,-0.0073978126829538,0.9398522930269952,0.7899787323923094,0.0310237585398234,0.8210024909321328,0.0754110669215033,0.067055891935126,0.0362757614169008,2024-04-24,2024-06-05,0.9033039093538676,1.7597724061751354,time
AAPL,2025-01-28,4,2,52.280254688910865,-0.0772268628083507,0.0344889248754149,0.0956056867491863,0.5668789808917197,0.0247357483189395,0.0149195368963759,0.0059860832894151,1.4190804232296452,0.7899770304915341,0.0042653010762495,0.7942423315677837,0.0831712741389716,0.0854194824487208,0.0654764749965438,2025-01-29,2025-03-11,-1.0305453218137592,1.6099510744101468,stop
NVDA,2024-12-20,5,2,46.6186812900734,-0.0766379593994677,0.1586900157321993,0.140638506571149,0.8232484076433121,0.0397172885671877,-0.0124237209445643,-0.0097943474491424,1.3842667361821352,0.6926347139732513,0.2252120237570342,0.9178467377302856,0.0775165491330398,0.0998570776266756,0.0730480647177113,2024-12-23,2025-01-06,1.5632895594409166,1.590668792658509,target
NOW,2025-01-15,5,2,47.960257845690826,-0.082104113642779,0.1158475271156489,0.3855728744592139,0.7977707006369427,0.0250649218217472,-0.0067136205349688,0.0100798900644294,1.09793119915406,0.0441338304617052,0.6636171016539921,0.7077509321156973,0.069238250231711,0.0828485912917049,0.0586204710865518,2025-01-16,2025-01-27,1.4738171599129577,1.5079349341807051,target
AMD,2025-09-15,4,2,49.24296552592235,-0.1093671932572257,0.3873966820016441,0.5961176756831092,0.9092356687898088,0.0385393820221813,-0.0020587173510119,0.0211832549500128,0.816981746216443,0.244682957869482,0.5127638230109182,0.7574467808804002,0.1063610378013246,0.1271005482737175,0.0791416928654734,2025-09-16,2025-10-06,5.07061171444928,1.9063948384238127,target
AMAT,2024-04-25,4,2,45.94598571592027,-0.0443701575626167,0.1460043867853817,0.4696798766575529,0.8162939297124601,0.0307111441705471,-0.0156037202561473,0.0017325228576219,0.885725839399889,0.2515471182857238,0.5525768525306057,0.8041239708163295,0.0692746743422971,0.0640650945132037,0.0546951114448655,2024-04-26,2024-05-15,1.5228758907285236,1.5594422299710364,target
MCHP,2025-08-20,4,3,48.81664420646042,-0.1129417431480672,0.1065238731920379,0.0659168250610717,0.6878980891719745,0.0379860024264909,0.0008196608843391,0.002384931198631,1.0141701088587023,0.5448917359334638,0.4086682114403002,0.953559947373764,0.0853423244684876,0.0978116836005122,0.0879660983230599,2025-08-21,2025-10-02,0.0043636152643334,1.7769914299322564,time
NXPI,2024-01-18,4,3,47.3887396448606,-0.0915296716864445,0.0751942016586133,-0.0300891296707238,0.4616613418530351,0.0283731505250331,-0.0107120065307655,0.0060163243384299,1.6785725709289805,0.2419347561250729,0.4704318827858108,0.7123666389108837,0.0883418080997104,0.1315858481256899,0.0579375477402316,2024-01-19,2024-02-12,1.886021441367129,1.920541369772922,target
NXPI,2025-09-25,4,1,53.47323871798304,-0.0418994583045762,0.0437721892070417,0.1126015777119877,0.4856687898089172,0.0273115772275379,0.0089676057051095,0.0188442033946703,0.9237120420333274,0.3351739448097563,0.550646321587139,0.8858202663968953,0.0953813218744705,0.1202591760031781,0.042236258865794,2025-09-26,2025-10-10,-1.0473526788050764,1.6559766169262622,stop
